episode,episode_steps,highest_score,max_tile
246,341,3132.0,256.0
247,158,1940.0,256.0
248,290,3044.0,256.0
249,316,3412.0,256.0
250,311,2952.0,256.0
251,494,3280.0,256.0
252,222,1616.0,128.0
253,274,2800.0,256.0
254,202,2160.0,256.0
255,355,3496.0,256.0
256,137,1308.0,128.0
257,310,3192.0,256.0
258,308,3024.0,256.0
259,296,1692.0,128.0
260,359,3408.0,256.0
261,296,2964.0,256.0
262,663,6452.0,512.0
263,235,2652.0,256.0
264,208,2580.0,256.0
265,206,2004.0,128.0
266,354,3312.0,256.0
267,152,1300.0,128.0
268,125,1072.0,128.0
269,408,4672.0,512.0
270,411,2972.0,256.0
271,340,3096.0,256.0
272,148,1312.0,128.0
273,177,1484.0,128.0
274,514,5164.0,512.0
275,388,3024.0,256.0
276,317,3556.0,256.0
277,573,2016.0,128.0
278,303,1372.0,128.0
279,374,4828.0,512.0
280,332,3176.0,256.0
281,164,1256.0,128.0
282,463,5292.0,512.0
283,466,5404.0,512.0
284,362,3516.0,256.0
285,339,3352.0,256.0
286,118,852.0,64.0
287,461,5684.0,512.0
288,332,3108.0,256.0
289,236,1324.0,128.0
290,422,5284.0,512.0
291,263,3020.0,256.0
292,512,5368.0,512.0
293,205,2124.0,128.0
294,242,3036.0,256.0
295,451,6040.0,512.0
296,198,1292.0,128.0
297,371,5216.0,512.0
298,339,5076.0,512.0
299,197,1400.0,128.0
300,415,5240.0,512.0
301,370,3156.0,256.0
302,376,2980.0,256.0
303,284,3424.0,256.0
304,600,6672.0,512.0
305,207,2316.0,256.0
306,234,2604.0,256.0
307,253,2484.0,256.0
308,160,1284.0,128.0
309,193,2268.0,256.0
310,203,2380.0,256.0
311,646,5580.0,512.0
312,305,2896.0,256.0
313,312,3444.0,256.0
314,491,5348.0,512.0
315,239,1696.0,128.0
316,201,1400.0,128.0
317,388,3140.0,256.0
318,208,2280.0,256.0
319,196,1260.0,128.0
320,407,4232.0,512.0
321,323,4536.0,512.0
322,291,2972.0,256.0
323,589,5264.0,512.0
324,170,1252.0,128.0
325,258,3212.0,256.0
326,238,2988.0,256.0
327,383,3712.0,256.0
328,273,2756.0,256.0
329,404,3220.0,256.0
330,232,2836.0,256.0
331,432,5928.0,512.0
332,208,2544.0,256.0
333,476,5960.0,512.0
334,567,6344.0,512.0
335,317,2716.0,256.0
336,227,1700.0,128.0
337,304,2292.0,256.0
338,444,3600.0,256.0
339,554,5380.0,512.0
340,490,6000.0,512.0
341,630,5540.0,512.0
342,310,2784.0,256.0
343,164,1292.0,128.0
344,500,6696.0,512.0
345,266,3008.0,256.0
346,332,3348.0,256.0
347,111,644.0,64.0
348,559,4996.0,512.0
349,289,3000.0,256.0
350,246,2436.0,256.0
351,199,2252.0,256.0
352,186,2264.0,256.0
353,301,3652.0,256.0
354,306,3144.0,256.0
355,333,4612.0,512.0
356,177,1516.0,128.0
357,372,4600.0,512.0
358,510,6132.0,512.0
359,425,3288.0,256.0
360,279,2812.0,256.0
361,160,1320.0,128.0
362,170,1584.0,128.0
363,276,2804.0,256.0
364,151,1616.0,128.0
365,240,2964.0,256.0
366,277,3296.0,256.0
367,294,2432.0,256.0
368,278,3056.0,256.0
369,464,6624.0,512.0
370,364,2960.0,256.0
371,213,2008.0,256.0
372,451,5352.0,512.0
373,197,1368.0,128.0
374,191,708.0,64.0
375,481,6012.0,512.0
376,453,5320.0,512.0
377,229,2420.0,256.0
378,337,3264.0,256.0
379,465,2892.0,256.0
380,521,6612.0,512.0
381,403,4596.0,512.0
382,340,3020.0,256.0
383,337,3000.0,256.0
384,354,2936.0,256.0
385,209,2508.0,256.0
386,257,1664.0,128.0
387,306,3048.0,256.0
388,124,1084.0,128.0
389,475,5304.0,512.0
390,540,3176.0,256.0
391,227,2844.0,256.0
392,269,2964.0,256.0
393,239,2744.0,256.0
394,302,3172.0,256.0
395,202,2084.0,128.0
396,278,1368.0,128.0
397,450,6172.0,512.0
398,346,3172.0,256.0
399,308,2992.0,256.0
400,396,5400.0,512.0
401,175,2072.0,256.0
402,202,1388.0,128.0
403,274,2992.0,256.0
404,229,2992.0,256.0
405,362,4040.0,256.0
406,655,6064.0,512.0
407,432,3356.0,256.0
408,257,3120.0,256.0
409,416,4564.0,512.0
410,522,6904.0,512.0
411,480,7004.0,512.0
412,203,2236.0,256.0
413,363,3708.0,256.0
414,496,4924.0,512.0
415,425,5236.0,512.0
416,797,6228.0,512.0
417,247,1380.0,128.0
418,279,2928.0,256.0
419,198,1308.0,128.0
420,363,5484.0,512.0
421,415,2972.0,256.0
422,245,2628.0,256.0
423,325,2956.0,256.0
424,356,4948.0,512.0
425,508,5348.0,512.0
426,289,3092.0,256.0
427,275,3220.0,256.0
428,432,3924.0,256.0
429,430,3232.0,256.0
430,260,3064.0,256.0
431,191,2080.0,256.0
432,208,1616.0,128.0
433,210,1416.0,128.0
434,300,3036.0,256.0
435,422,5412.0,512.0
436,260,2800.0,256.0
437,377,5984.0,512.0
438,400,4832.0,512.0
439,244,2704.0,256.0
440,212,1568.0,128.0
441,377,2992.0,256.0
442,283,2256.0,128.0
443,171,1404.0,128.0
444,275,2924.0,256.0
445,436,5264.0,512.0
446,315,3712.0,256.0
447,395,5248.0,512.0
448,227,2288.0,128.0
449,140,1272.0,128.0
450,399,4308.0,512.0
451,398,4920.0,512.0
452,144,1324.0,128.0
453,181,2104.0,256.0
454,266,3052.0,256.0
455,511,6036.0,512.0
456,592,6936.0,512.0
457,252,3096.0,256.0
458,651,6592.0,512.0
459,320,3504.0,256.0
460,287,2888.0,256.0
461,200,2408.0,256.0
462,262,2328.0,256.0
463,391,3216.0,256.0
