episode,episode_steps,highest_score,max_tile
1065,351,3572.0,256.0
1066,267,3048.0,256.0
1067,188,1336.0,128.0
1068,336,3152.0,256.0
1069,334,3112.0,256.0
1070,316,4196.0,512.0
1071,598,7528.0,512.0
1072,567,5724.0,512.0
1073,315,3116.0,256.0
1074,852,13784.0,1024.0
1075,135,1344.0,128.0
1076,263,2768.0,256.0
1077,257,3100.0,256.0
1078,406,4796.0,256.0
1079,268,2988.0,256.0
1080,279,2208.0,128.0
1081,224,2704.0,256.0
1082,167,1072.0,128.0
1083,421,4552.0,256.0
1084,226,2820.0,256.0
1085,407,3204.0,256.0
1086,514,6348.0,512.0
1087,223,2880.0,256.0
1088,421,3464.0,256.0
1089,332,3004.0,256.0
1090,219,1484.0,128.0
1091,311,3264.0,256.0
1092,414,3060.0,256.0
1093,122,1168.0,128.0
1094,422,5184.0,512.0
1095,263,2364.0,256.0
1096,140,1344.0,128.0
1097,347,3376.0,256.0
1098,155,1284.0,128.0
1099,415,5076.0,512.0
1100,409,6192.0,512.0
1101,205,2072.0,256.0
1102,436,5320.0,512.0
1103,227,2776.0,256.0
1104,350,3268.0,256.0
1105,281,3076.0,256.0
1106,280,2828.0,256.0
1107,233,2688.0,256.0
1108,553,5968.0,512.0
1109,855,6292.0,512.0
1110,444,6040.0,512.0
1111,462,6076.0,512.0
1112,560,7556.0,512.0
1113,473,3688.0,256.0
1114,457,5968.0,512.0
1115,413,3808.0,256.0
1116,513,5468.0,512.0
1117,417,3064.0,256.0
1118,370,5084.0,512.0
